[INFO] [17:40:10.336] [JavaFX Application Thread] [] com.zzg.mybatis.generator.util.DbUtil.<clinit>:32 --> load driver class: com.mysql.jdbc.Driver@11d3283
[INFO] [17:40:10.411] [JavaFX Application Thread] [] com.zzg.mybatis.generator.util.DbUtil.<clinit>:32 --> load driver class: oracle.jdbc.driver.OracleDriver@38084a49
[INFO] [17:40:10.433] [JavaFX Application Thread] [] com.zzg.mybatis.generator.util.DbUtil.<clinit>:32 --> load driver class: org.postgresql.Driver@7d00cec
[INFO] [17:40:10.577] [JavaFX Application Thread] [] com.zzg.mybatis.generator.util.DbUtil.<clinit>:32 --> load driver class: SQLServerDriver:2
[INFO] [17:40:10.578] [JavaFX Application Thread] [] com.zzg.mybatis.generator.util.DbUtil.<clinit>:32 --> load driver class: org.sqlite.JDBC@6f69dea2
[INFO] [17:40:10.579] [JavaFX Application Thread] [] com.zzg.mybatis.generator.util.DbUtil.getConnectionUrlWithSchema:113 --> getConnectionUrlWithSchema, connection url: jdbc:mysql://120.79.213.78:3306/exam?useUnicode=true&useSSL=false&characterEncoding=utf8&tinyInt1isBit=false
[INFO] [17:40:10.579] [JavaFX Application Thread] [] com.zzg.mybatis.generator.util.DbUtil.getTableNames:55 --> getTableNames, connection url: jdbc:mysql://120.79.213.78:3306/exam?useUnicode=true&useSSL=false&characterEncoding=utf8&tinyInt1isBit=false
[INFO] [17:40:10.580] [JavaFX Application Thread] [] com.zzg.mybatis.generator.util.DbUtil.getConnectionUrlWithSchema:113 --> getConnectionUrlWithSchema, connection url: jdbc:mysql://120.79.213.78:3306/exam?useUnicode=true&useSSL=false&characterEncoding=utf8&tinyInt1isBit=false
[INFO] [17:40:11.026] [JavaFX Application Thread] [] com.zzg.mybatis.generator.util.DbUtil.getConnection:49 --> getConnection, connection url: com.mysql.jdbc.JDBC4Connection@710a501b
[INFO] [17:40:11.095] [JavaFX Application Thread] [] com.zzg.mybatis.generator.util.DbUtil.getConnectionUrlWithSchema:113 --> getConnectionUrlWithSchema, connection url: jdbc:mysql://120.79.213.78:3306/exam?useUnicode=true&useSSL=false&characterEncoding=utf8&tinyInt1isBit=false
[INFO] [17:40:11.096] [JavaFX Application Thread] [] com.zzg.mybatis.generator.util.DbUtil.getTableNames:55 --> getTableNames, connection url: jdbc:mysql://120.79.213.78:3306/exam?useUnicode=true&useSSL=false&characterEncoding=utf8&tinyInt1isBit=false
[INFO] [17:40:11.096] [JavaFX Application Thread] [] com.zzg.mybatis.generator.util.DbUtil.getConnectionUrlWithSchema:113 --> getConnectionUrlWithSchema, connection url: jdbc:mysql://120.79.213.78:3306/exam?useUnicode=true&useSSL=false&characterEncoding=utf8&tinyInt1isBit=false
[INFO] [17:40:11.280] [JavaFX Application Thread] [] com.zzg.mybatis.generator.util.DbUtil.getConnection:49 --> getConnection, connection url: com.mysql.jdbc.JDBC4Connection@2fb2605a
[INFO] [17:42:45.454] [JavaFX Application Thread] [] com.zzg.mybatis.generator.util.DbUtil.getConnectionUrlWithSchema:113 --> getConnectionUrlWithSchema, connection url: jdbc:mysql://120.79.213.78:3306/exam?useUnicode=true&useSSL=false&characterEncoding=utf8&tinyInt1isBit=false
[INFO] [17:42:45.454] [JavaFX Application Thread] [] com.zzg.mybatis.generator.util.DbUtil.getTableNames:55 --> getTableNames, connection url: jdbc:mysql://120.79.213.78:3306/exam?useUnicode=true&useSSL=false&characterEncoding=utf8&tinyInt1isBit=false
[INFO] [17:42:45.455] [JavaFX Application Thread] [] com.zzg.mybatis.generator.util.DbUtil.getConnectionUrlWithSchema:113 --> getConnectionUrlWithSchema, connection url: jdbc:mysql://120.79.213.78:3306/exam?useUnicode=true&useSSL=false&characterEncoding=utf8&tinyInt1isBit=false
[INFO] [17:42:45.647] [JavaFX Application Thread] [] com.zzg.mybatis.generator.util.DbUtil.getConnection:49 --> getConnection, connection url: com.mysql.jdbc.JDBC4Connection@118b5d0e
